4.592	1.877E-4	-8.015E-5
4.623	1.912E-4	-1.398E-4
4.655	1.928E-4	-2.045E-4
4.687	2.204E-4	-2.605E-4
4.718	2.187E-4	-3.159E-4
4.750	2.530E-4	-3.554E-4
4.782	2.499E-4	-4.053E-4
4.813	2.547E-4	-4.441E-4
4.845	2.162E-4	-4.896E-4
4.877	1.915E-4	-4.891E-4
4.908	2.349E-4	-4.449E-4
4.940	2.134E-4	-4.349E-4
4.972	1.833E-4	-3.440E-4
5.003	6.270E-5	-2.628E-4
5.035	5.228E-5	-1.735E-4
5.067	-1.239E-5	-5.912E-5
5.098	4.181E-5	-2.535E-5
5.130	1.071E-4	6.359E-5
5.162	1.307E-4	1.537E-4
5.193	1.554E-4	2.218E-4
5.225	1.585E-4	2.772E-4
5.257	1.656E-4	2.502E-4
5.288	1.693E-4	2.456E-4
5.320	2.124E-4	1.969E-4
5.352	1.265E-4	1.045E-4
5.383	1.381E-4	-1.834E-5
5.415	1.604E-4	-2.695E-5
5.447	1.605E-4	-1.448E-4
5.478	1.558E-4	-2.946E-4
5.510	2.037E-4	-4.121E-4
5.542	2.373E-4	-5.664E-4
5.573	2.083E-4	-6.351E-4
5.605	1.928E-4	-7.524E-4
5.637	1.851E-4	-7.606E-4
5.668	1.984E-4	-7.580E-4
5.700	1.922E-4	-6.927E-4
5.732	1.959E-4	-5.835E-4
5.763	1.558E-4	-4.714E-4
5.795	5.674E-5	-3.719E-4
5.827	-3.216E-5	-2.197E-4
5.858	-2.387E-5	-1.405E-4
5.890	6.646E-6	1.188E-5
5.922	8.094E-5	9.577E-5
5.953	1.932E-4	2.684E-4
5.985	2.866E-4	3.910E-4
6.017	4.443E-4	4.285E-4
6.048	4.885E-4	4.111E-4
6.080	5.281E-4	3.937E-4
6.112	4.869E-4	3.147E-4
6.143	3.994E-4	1.739E-4
6.175	3.014E-4	1.452E-5
6.207	2.000E-4	-1.182E-4
6.238	2.087E-4	-2.342E-4
6.270	3.292E-4	-2.893E-4
6.302	4.868E-4	-4.725E-4
6.333	5.482E-4	-5.797E-4
6.365	5.810E-4	-6.073E-4
6.397	5.910E-4	-6.812E-4
6.428	6.199E-4	-6.489E-4
6.460	6.050E-4	-7.285E-4
6.492	9.104E-4	-4.036E-4
6.523	8.995E-4	-2.805E-4
6.555	-3.582E-4	-4.902E-4
6.587	-4.125E-4	-3.362E-4
6.618	-3.979E-4	-1.316E-4
6.650	2.324E-4	1.580E-4
6.682	3.397E-4	2.767E-4
